Title,Author,Year,Type,Domain,Lenses,Source_URL,Priority,Status,Why_Chosen
The Principles of Psychology Vol 1,William James,1890,book_psychology,psychology,"psychological,scientific,philosophical",https://www.gutenberg.org/ebooks/57628,1,queued,"Founded American psychology. Introduces stream of consciousness concept. Scientific yet philosophical. Shows rigorous psychological thinking."
Relativity: The Special and General Theory,Albert Einstein,1920,book_science,physics,"scientific,philosophical,mathematical",https://www.gutenberg.org/ebooks/5001,1,queued,"Einstein explains relativity to general public. Revolutionary physics made accessible. Shows science at highest level. Includes philosophical implications."
The Book of the Sacred Magic of Abramelin,Abraham of Worms,1458,ritual_guide,ceremonial_magic,"symbolic_occult,religious_spiritual",https://www.sacred-texts.com/grim/abr/index.htm,1,queued,"Medieval grimoire with detailed magical system. Influences modern ceremonial magic. Shows practical occult tradition. Structured and systematic approach."
Transcendental Magic,Éliphas Lévi,1856,book_esoteric,ceremonial_magic,"symbolic_occult,philosophical",https://www.sacred-texts.com/eso/tm/index.htm,2,queued,"Revived Western occultism in 19th century. Systematic magical theory. Coined term 'occultism.' Influenced Golden Dawn and all modern magic."
The Descent of Man,Charles Darwin,1871,book_science,evolution,"scientific,historical_anthropological,philosophical",https://www.gutenberg.org/ebooks/2300,2,queued,"Applies evolution to humans specifically. Includes sexual selection theory. More philosophical than Origin. Shows human place in nature."
Psychology of the Unconscious,Carl Jung,1912,book_psychology,depth_psychology,"psychological,philosophical,symbolic_occult",https://www.gutenberg.org/ebooks/47942,2,queued,"Jung breaks from Freud - introduces collective unconscious. Bridges psychology and mythology. Essential for understanding archetypes. Foundational depth psychology."
The Chemical Wedding of Christian Rosenkreutz,Johann Valentin Andreae,1616,book_esoteric,rosicrucianism,"symbolic_occult,philosophical,religious_spiritual",https://www.sacred-texts.com/sro/rhr/index.htm,2,queued,"Rosicrucian manifesto in allegorical form. Alchemical spiritual transformation narrative. Rich symbolism. Influenced Western esotericism profoundly."
Beyond Good and Evil,Friedrich Nietzsche,1886,book_philosophical,existentialism,"philosophical,psychological",https://www.gutenberg.org/ebooks/4363,2,queued,"Nietzsche's mature philosophy. Aphoristic style - highly quotable. Challenges all moral assumptions. Essential modern philosophy."
The Dhammapada,Buddha,500BCE,book_spiritual,buddhism,"religious_spiritual,philosophical,psychological",https://www.gutenberg.org/ebooks/2017,2,queued,"Buddha's teachings in verse form. Short, accessible, profound. Essential Buddhist text. Shows path to liberation from suffering."
Sepher Yetzirah,Rabbi Akiba ben Joseph,200CE,book_esoteric,qabalah,"symbolic_occult,philosophical,mathematical",https://www.sacred-texts.com/jud/yetzirah.htm,2,queued,"Oldest Qabalistic text. Hebrew letters and numbers create reality. Mathematical mysticism. Foundation of Jewish mystical tradition."
The Voyage of the Beagle,Charles Darwin,1839,book_science,natural_history,"scientific,historical_anthropological",https://www.gutenberg.org/ebooks/944,2,queued,"Darwin's travel journal - origin of his theories. Shows scientific observation process. Engaging narrative style. Reveals how insights emerge."
The Enneads,Plotinus,270,book_philosophical,neoplatonism,"philosophical,religious_spiritual",https://www.gutenberg.org/ebooks/55317,2,queued,"Bridge between Greek philosophy and Christian mysticism. Influenced all Western mysticism. Shows philosophical approach to divine reality."
The Analects,Confucius,500BCE,book_philosophical,confucianism,"philosophical,historical_anthropological,religious_spiritual",https://www.gutenberg.org/ebooks/3330,2,queued,"Confucius' sayings - shaped East Asian civilization. Practical wisdom for ethical living. Shows philosophy as way of life."
The Kabbalah Unveiled,S.L. MacGregor Mathers,1887,book_esoteric,qabalah,"symbolic_occult,philosophical,religious_spiritual",https://www.sacred-texts.com/jud/tku/index.htm,2,queued,"Golden Dawn founder translates Zohar. Made Qabalah accessible to Westerners. Systematic presentation. Essential for understanding Western occultism."
Tetrabiblos,Claudius Ptolemy,150,reference_table,astrology,"symbolic_occult,mathematical,scientific",https://www.sacred-texts.com/astro/ptb/index.htm,2,queued,"Classical astrology's foundation text. 2000 years of influence. Mathematical and systematic. Shows astrology's intellectual rigor."
The Ego and the Id,Sigmund Freud,1923,book_psychology,psychoanalysis,"psychological,philosophical",https://www.gutenberg.org/ebooks/52694,2,queued,"Freud's structural model - id, ego, superego. Essential psychoanalytic theory. Short and foundational. Influenced all psychology after."
The World as Will and Representation,Arthur Schopenhauer,1818,book_philosophical,idealism,"philosophical,psychological",https://www.gutenberg.org/ebooks/40097,2,queued,"Will as fundamental reality. Pessimistic but profound. Influenced Nietzsche, Freud, Jung. Bridges Eastern and Western philosophy."
Myths and Legends of Ancient Greece and Rome,E.M. Berens,1880,mythology,greco_roman,"historical_anthropological,symbolic_occult,religious_spiritual",https://www.gutenberg.org/ebooks/22381,2,queued,"Comprehensive mythology reference. Well-organized and readable. Essential for understanding Western symbolic references. Shows archetypal patterns."
The Pictorial Key to the Tarot,Arthur Edward Waite,1910,book_esoteric,tarot,"symbolic_occult,psychological",https://www.sacred-texts.com/tarot/pkt/index.htm,2,queued,"Explains Rider-Waite tarot - most used deck today. Includes card images. Practical and symbolic. Essential for tarot understanding."
Harmonices Mundi Book V,Johannes Kepler,1619,book_science,astronomy,"mathematical,scientific,philosophical,symbolic_occult",https://archive.org/details/ioanniskeplerisah00kepl,2,queued,"Kepler's 'Music of the Spheres.' Planetary orbits as harmonic ratios. Bridges science, math, and mysticism. Shows mathematical beauty."
The Interior Castle,Teresa of Ávila,1577,book_spiritual,mysticism,"religious_spiritual,psychological",https://www.gutenberg.org/ebooks/8120,2,queued,"Christian mystical masterpiece. Seven mansions of inner spiritual journey. Profound psychological insight. Practical mysticism."
Self-Reliance and Other Essays,Ralph Waldo Emerson,1844,book_philosophical,transcendentalism,"philosophical,religious_spiritual",https://www.gutenberg.org/ebooks/16643,2,queued,"American transcendentalist manifesto. 'Trust thyself' - empowering philosophy. Accessible and inspiring. Influenced American spiritual thought."
The Art of War,Sun Tzu,500BCE,book_philosophical,strategy,"philosophical,historical_anthropological",https://www.gutenberg.org/ebooks/132,2,queued,"Ancient Chinese military strategy. Applied to business, life, spirituality. Short, practical, profound. Shows philosophy in action."
I Ching,Anonymous,1000BCE,book_esoteric,divination,"symbolic_occult,philosophical,religious_spiritual",https://www.sacred-texts.com/ich/index.htm,2,queued,"Chinese divination and wisdom text. 64 hexagrams - life situations. Philosophical and practical. Influenced Leibniz and Jung."
The Hermetic Museum Volume 1,Arthur Edward Waite,1893,book_esoteric,alchemy,"symbolic_occult,philosophical,historical_anthropological",https://www.sacred-texts.com/alc/hm1/index.htm,2,queued,"Collection of alchemical treatises. Historical and symbolic. Shows Western alchemical tradition. Rich in symbolism and metaphor."
The Tarot of the Bohemians,Papus,1889,book_esoteric,tarot,"symbolic_occult,philosophical",https://www.sacred-texts.com/tarot/tob/index.htm,2,queued,"French occultist's tarot system. Connects tarot to Qabalah and astrology. Systematic correspondence system. Influenced occult revival."
Magic White and Black,Franz Hartmann,1888,book_esoteric,occultism,"symbolic_occult,philosophical,religious_spiritual",https://www.sacred-texts.com/eso/mwb/index.htm,2,queued,"Theosophical perspective on magic. Ethical framework for occult practice. Clear writing. Distinguishes spiritual from selfish magic."
Christian Astrology,William Lilly,1647,book_esoteric,astrology,"symbolic_occult,historical_anthropological",https://www.sacred-texts.com/astro/ca/index.htm,2,queued,"Classic horary astrology text. Practical prediction methods. Historical document showing astrology's role. Detailed and systematic."
The Symposium,Plato,385BCE,book_philosophical,ethics,"philosophical,psychological",https://www.gutenberg.org/ebooks/1600,2,queued,"Plato's dialogue on love (Eros). Beautiful literary form. Introduces concept of platonic love. Philosophy as living conversation."
The Discourses,Epictetus,108,book_philosophical,stoicism,"philosophical,psychological",https://www.gutenberg.org/ebooks/871,2,queued,"Stoic slave-philosopher's teachings. Practical wisdom for daily life. Focus on what you can control. Accessible ancient wisdom."
Ethics,Baruch Spinoza,1677,book_philosophical,rationalism,"philosophical,religious_spiritual",https://www.gutenberg.org/ebooks/3800,2,queued,"God as nature - pantheistic philosophy. Mathematical format. Influenced Einstein. Bridges philosophy and mysticism."
The Problems of Philosophy,Bertrand Russell,1912,book_philosophical,epistemology,"philosophical,scientific",https://www.gutenberg.org/ebooks/5827,2,queued,"Clear introduction to philosophy. Analytical approach. Shows philosophical rigor. Accessible to beginners."
The Secret Doctrine Volume 1,Helena Blavatsky,1888,book_esoteric,theosophy,"symbolic_occult,philosophical,religious_spiritual",https://www.sacred-texts.com/the/sd/index.htm,2,queued,"Theosophical cosmology and anthropology. Massive synthesis of Eastern and Western esotericism. Comprehensive esoteric worldview."
The Zohar Volume 1,Moses de Leon,1290,book_esoteric,qabalah,"religious_spiritual,symbolic_occult,philosophical",https://www.sacred-texts.com/jud/zdm/index.htm,2,queued,"Jewish mystical masterwork. Commentary on Torah revealing hidden meanings. Central Qabalistic text. Profound and poetic."
The Metaphysics,Aristotle,350BCE,book_philosophical,metaphysics,"philosophical,scientific",https://www.gutenberg.org/ebooks/54448,3,queued,"Western metaphysics foundation. 'First philosophy' - study of being. Influenced all subsequent philosophy. Systematic and rigorous."
Beyond the Pleasure Principle,Sigmund Freud,1920,book_psychology,psychoanalysis,"psychological,philosophical",https://www.gutenberg.org/ebooks/44565,3,queued,"Introduces death drive concept. Speculative and philosophical. Shows Freud's theoretical depth. Influenced Lacan and others."
The Gay Science,Friedrich Nietzsche,1882,book_philosophical,existentialism,"philosophical,psychological",https://www.gutenberg.org/ebooks/52914,3,queued,"'God is dead' - announces death of absolute values. Joyful philosophy. Prepares for Zarathustra. Aphoristic brilliance."
The Nature of the Physical World,Arthur Eddington,1928,book_science,physics,"scientific,philosophical",https://www.gutenberg.org/ebooks/48934,3,queued,"Physicist explains quantum mechanics to public. Shows limits of materialism. Philosophical implications of modern physics."
Man's Place in Nature,Thomas Huxley,1863,book_science,evolution,"scientific,philosophical,historical_anthropological",https://www.gutenberg.org/ebooks/2931,3,queued,"Darwin's defender explains human evolution. Comparative anatomy approach. Shows humans as part of nature. Clear scientific writing."
The Divine Pymander,Hermes Trismegistus,300CE,book_esoteric,hermeticism,"symbolic_occult,religious_spiritual,philosophical",https://www.sacred-texts.com/eso/pym/index.htm,3,queued,"Hermetic revelation text. Creation story and divine wisdom. Influenced Renaissance. Shows Hermetic theology."
The Yoga Sutras of Patanjali,Patanjali,400BCE,book_spiritual,yoga,"religious_spiritual,philosophical,psychological",https://www.sacred-texts.com/hin/yogasutr.htm,3,queued,"Classical yoga philosophy. 196 sutras on consciousness and liberation. Practical and profound. Foundation of all yoga."
Mysticism,Evelyn Underhill,1911,book_spiritual,mysticism,"religious_spiritual,psychological,philosophical",https://www.gutenberg.org/ebooks/18428,3,queued,"Comprehensive study of mystical experience. Academic yet experiential. Five stages of mystical path. Bridges traditions."
The Art of Worldly Wisdom,Baltasar Gracián,1647,book_philosophical,practical_philosophy,"philosophical,psychological",https://www.gutenberg.org/ebooks/5690,3,queued,"300 maxims for practical living. Jesuit philosopher's worldly advice. Short, quotable, profound. Philosophy meets psychology."
Bulfinch's Mythology,Thomas Bulfinch,1855,mythology,comparative_mythology,"historical_anthropological,symbolic_occult,philosophical",https://www.gutenberg.org/ebooks/4928,3,queued,"Greek, Roman, Norse myths compiled. Accessible reference. Shows mythological patterns. Essential cultural literacy."
The Age of Fable,Thomas Bulfinch,1855,mythology,greco_roman,"historical_anthropological,symbolic_occult",https://www.gutenberg.org/ebooks/3327,3,queued,"Greek and Roman myths retold. Beautiful narrative style. Shows how myths convey meaning. Classic reference."
Primitive Culture Volume 1,Edward Burnett Tylor,1871,anthropology,cultural_anthropology,"historical_anthropological,philosophical,religious_spiritual",https://archive.org/details/primitiveculture01tylouoft,3,queued,"Founded cultural anthropology. Introduced animism concept. Shows cultural evolution. Historical anthropological thinking."
Human Nature and Conduct,John Dewey,1922,book_psychology,pragmatism,"psychological,philosophical,scientific",https://www.gutenberg.org/ebooks/41386,3,queued,"Pragmatist approach to psychology. Habit as foundation of conduct. Bridges philosophy and psychology. American philosophical psychology."
The Principles of Light and Color,Edwin Babbitt,1878,book_science,optics,"scientific,symbolic_occult,philosophical",https://www.sacred-texts.com/eso/ihas/index.htm,3,queued,"Scientific study with esoteric applications. Color healing and vibration. Bridges scientific and occult. Ahead of its time."
The Tibetan Book of the Dead,Padmasambhava,800,book_spiritual,tibetan_buddhism,"religious_spiritual,philosophical,symbolic_occult",https://www.sacred-texts.com/bud/tib/index.htm,3,queued,"Tibetan death and rebirth manual. Profound psychology of consciousness. Influenced Western thought. Practical and mystical."
The Gospel of Buddha,Paul Carus,1894,book_spiritual,buddhism,"religious_spiritual,philosophical,historical_anthropological",https://www.gutenberg.org/ebooks/48361,3,queued,"Buddha's life and teachings compiled. Accessible to Western readers. Shows Buddhist path. Bridges East and West."
The Conference of the Birds,Farid ud-Din Attar,1177,book_spiritual,sufism,"religious_spiritual,philosophical,symbolic_occult",https://www.gutenberg.org/ebooks/28688,3,queued,"Persian Sufi allegory. Birds seek divine king - spiritual journey. Rich symbolism. Beautiful mystical poetry."
Totem and Taboo,Sigmund Freud,1913,book_psychology,psychoanalysis,"psychological,historical_anthropological,symbolic_occult",https://www.gutenberg.org/ebooks/41214,3,queued,"Applies psychoanalysis to anthropology. Origin of civilization. Controversial but influential. Shows psychological anthropology."
The Elementary Forms of Religious Life,Émile Durkheim,1912,anthropology,sociology_of_religion,"historical_anthropological,religious_spiritual,philosophical",https://archive.org/details/elementaryformso00durk,3,queued,"Sociological approach to religion. Shows social function of sacred. Founded sociology of religion. Influential methodology."
The Cloud of Unknowing,Anonymous,1370,book_spiritual,mysticism,"religious_spiritual,philosophical",https://www.gutenberg.org/ebooks/9347,3,queued,"Medieval Christian mystical text. Apophatic theology - knowing God through unknowing. Contemplative practice manual."
The Imitation of Christ,Thomas à Kempis,1418,book_spiritual,christianity,"religious_spiritual,philosophical,psychological",https://www.gutenberg.org/ebooks/1653,3,queued,"Most read Christian book after Bible. Practical spiritual devotion. Psychological depth. Timeless spiritual wisdom."
Magic and Religion,Andrew Lang,1901,anthropology,comparative_religion,"historical_anthropological,religious_spiritual,symbolic_occult",https://www.gutenberg.org/ebooks/37811,3,queued,"Distinguishes magic from religion. Anthropological analysis. Shows evolution of religious thought. Early comparative religion."
The Egyptian Book of the Dead,E.A. Wallis Budge,1895,book_spiritual,egyptian_religion,"religious_spiritual,symbolic_occult,historical_anthropological",https://www.sacred-texts.com/egy/ebod/index.htm,3,queued,"Ancient Egyptian funerary texts. Afterlife journey guide. Rich symbolism. Influenced Western occultism profoundly."
The Masnavi Book 1,Jalal ad-Din Rumi,1258,book_spiritual,sufism,"religious_spiritual,philosophical,psychological",https://www.sacred-texts.com/isl/masnavi/index.htm,3,queued,"Rumi's masterwork - spiritual poetry and stories. Sufi wisdom in narrative form. Beautiful and profound. Universal spiritual appeal."
The Alchemy of Happiness,Al-Ghazali,1105,book_spiritual,sufism,"religious_spiritual,philosophical,psychological",https://www.gutenberg.org/ebooks/48206,3,queued,"Islamic philosopher on spiritual happiness. Practical ethics and mysticism. Bridges philosophy and spirituality. Accessible wisdom."
The Mystics of Islam,Reynold Nicholson,1914,book_spiritual,sufism,"religious_spiritual,historical_anthropological,philosophical",https://www.gutenberg.org/ebooks/45166,3,queued,"Introduction to Sufism by Western scholar. Historical and conceptual. Makes Sufism accessible. Shows Islamic mysticism."
The Way of a Pilgrim,Anonymous,1884,book_spiritual,eastern_christianity,"religious_spiritual,psychological",https://www.gutenberg.org/ebooks/53425,3,queued,"Russian Orthodox hesychasm. Jesus Prayer practice narrative. Mystical and practical. Shows Christian meditation tradition."
The Mechanism of the Heavens,Mary Somerville,1831,book_science,astronomy,"scientific,mathematical,philosophical",https://archive.org/details/mechanismofheave00some,3,queued,"Female scientist explains celestial mechanics. Made Newton accessible. Historical scientific achievement. Shows women in science."
Science and the Modern World,Alfred North Whitehead,1925,book_science,philosophy_of_science,"scientific,philosophical",https://archive.org/details/sciencemodernwor00whit,3,queued,"Process philosophy approach to science. Shows science's philosophical foundations. Influential philosophy of nature."
The Divine Proportion,Luca Pacioli,1509,reference_table,sacred_geometry,"mathematical,philosophical,symbolic_occult",https://archive.org/details/divinaproportion00paci,3,queued,"Golden ratio - phi in art and nature. Renaissance mathematics and aesthetics. Visual diagrams. Shows mathematical beauty."
A Treatise on the Circle and the Sphere,Julian Coolidge,1916,reference_table,geometry,"mathematical,philosophical",https://archive.org/details/treatiseoncircle00cooluoft,3,queued,"Advanced geometry text. Mathematical rigor. Shows geometric principles. Foundation for understanding sacred geometry."
The Theory of Numbers,Thomas Heath,1910,reference_table,number_theory,"mathematical,philosophical",https://archive.org/details/diophantusalex00heatiala,3,queued,"Number theory foundations. Mathematical properties and patterns. Shows mathematical mysticism roots. Historical importance."
Jewish Magic and Superstition,Joshua Trachtenberg,1939,anthropology,judaism,"historical_anthropological,symbolic_occult,religious_spiritual",https://www.sacred-texts.com/jud/jms/index.htm,3,queued,"Jewish folk magic and mysticism. Historical practices. Shows practical Qabalah. Cultural context for magic."
Prolegomena to Any Future Metaphysics,Immanuel Kant,1783,book_philosophical,epistemology,"philosophical,scientific",https://www.gutenberg.org/ebooks/52821,4,queued,"Kant's accessible summary of Critique. Epistemology foundations. Shows limits of knowledge. Essential modern philosophy."
The Natural History of Religion,David Hume,1757,book_philosophical,philosophy_of_religion,"philosophical,historical_anthropological,religious_spiritual",https://www.gutenberg.org/ebooks/4583,4,queued,"Empiricist approach to religion. Natural origins of religious belief. Historical analysis. Influential religious philosophy."
An Enquiry Concerning Human Understanding,David Hume,1748,book_philosophical,epistemology,"philosophical,psychological",https://www.gutenberg.org/ebooks/9662,4,queued,"Empiricist epistemology. Skeptical philosophy. Problem of induction. Clear philosophical writing."
The Apology,Plato,399BCE,book_philosophical,ethics,"philosophical,historical_anthropological",https://www.gutenberg.org/ebooks/1656,4,queued,"Socrates' trial defense. Philosophy as examined life. Dramatic and moving. Shows philosophy's moral dimension."
Phaedo,Plato,380BCE,book_philosophical,metaphysics,"philosophical,religious_spiritual",https://www.gutenberg.org/ebooks/1658,4,queued,"Socrates' death - immortality of soul. Philosophical arguments in dramatic form. Bridge to mysticism. Beautiful dialogue."
The Nichomachean Ethics,Aristotle,350BCE,book_philosophical,ethics,"philosophical,psychological",https://www.gutenberg.org/ebooks/8438,4,queued,"Virtue ethics foundation. Eudaimonia as highest good. Practical wisdom (phronesis). Essential ethical theory."
The Alchemists,Morley,1854,historical,alchemy,"historical_anthropological,symbolic_occult,philosophical",https://archive.org/details/livesalchemistic00morl,4,queued,"Biographies of famous alchemists. Historical context for alchemy. Shows alchemical tradition evolution. Narrative approach."
The Book of Black Magic,Arthur Edward Waite,1898,book_esoteric,grimoires,"symbolic_occult,historical_anthropological",https://www.sacred-texts.com/grim/bcm/index.htm,4,queued,"Survey of grimoire tradition. Historical grimoires analyzed. Shows ceremonial magic history. Waite's scholarly approach."
The Rosicrucians,Hargrave Jennings,1870,historical,rosicrucianism,"historical_anthropological,symbolic_occult,philosophical",https://www.sacred-texts.com/sro/rhr/index.htm,4,queued,"Rosicrucian history and symbolism. Mysterious fraternity explored. Shows esoteric society. Historical investigation."
The Comte de Gabalis,Montfaucon de Villars,1670,book_esoteric,elemental_beings,"symbolic_occult,philosophical",https://www.sacred-texts.com/eso/cdg/index.htm,4,queued,"Rosicrucian elemental spirits text. Gnomes, undines, sylphs, salamanders. Satirical yet esoteric. Influenced modern occultism."
The Practice of Magical Evocation,Franz Bardon,1956,ritual_guide,ceremonial_magic,"symbolic_occult,religious_spiritual",https://archive.org/details/practiceofmagica00bard,4,queued,"Practical magic instruction. Systematic evocation methods. Modern ceremonial magic. Detailed and practical."
The Science of Breath,Yogi Ramacharaka,1904,book_spiritual,yoga,"religious_spiritual,scientific,psychological",https://www.sacred-texts.com/hin/sob/index.htm,4,queued,"Western yogi on pranayama. Bridges Eastern and Western. Scientific and spiritual. Practical breathwork."
Light on the Path,Mabel Collins,1885,book_spiritual,theosophy,"religious_spiritual,philosophical,symbolic_occult",https://www.sacred-texts.com/the/lop/index.htm,4,queued,"Theosophical spiritual aphorisms. Mystical poetry and guidance. Beautiful and cryptic. Influenced occult students."
The Voice of the Silence,Helena Blavatsky,1889,book_spiritual,theosophy,"religious_spiritual,philosophical,psychological",https://www.sacred-texts.com/the/vos/index.htm,4,queued,"Buddhist-influenced theosophical text. Mystical path instructions. Beautiful prose. Blavatsky's mystical side."
The Gateless Gate,Ekai Mumon,1228,book_spiritual,zen_buddhism,"religious_spiritual,philosophical,psychological",https://www.sacred-texts.com/bud/zen/mumonkan.htm,4,queued,"Zen koans collection. 48 mind-breaking paradoxes. Shows Zen methodology. Brief and profound."

